Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Nom;Population municipale 2021;Médecin généraliste (en nombre) 2021
1001;L'Abergement-Clémenciat;832;0
1002;L'Abergement-de-Varey;267;0
1004;Ambérieu-en-Bugey;14854;24
1005;Ambérieux-en-Dombes;1897;2
1006;Ambléon;113;0
1007;Ambronay;2833;2
1008;Ambutrix;768;0
1009;Andert-et-Condon;322;0
1010;Anglefort;1125;0
1011;Apremont;383;0
1012;Aranc;327;0
1013;Arandas;141;0
1014;Arbent;3409;3
1015;Arboys en Bugey;667;0
1016;Arbigny;459;0
1017;Argis;432;0
1019;Armix;26;0
1021;Ars-sur-Formans;1498;4
1022;Artemare;1177;5
1023;Asnières-sur-Saône;77;0
1024;Attignat;3336;4
1025;Bâgé-Dommartin;4065;0
1026;Bâgé-le-Châtel;979;1
1027;Balan;2692;0
1028;Baneins;621;0
1029;Beaupont;700;0
1030;Beauregard;830;0
1031;Bellignat;3636;1
1032;Béligneux;3434;1
1033;Valserhône;16295;12
1034;Belley;9239;14
1035;Belleydoux;306;0
1036;Valromey-sur-Séran;1342;0
1037;Bénonces;310;0
1038;Bény;764;0
1040;Béréziat;480;0
1041;Bettant;749;0
1042;Bey;290;0
1043;Beynost;4877;5
1044;Billiat;626;0
1045;Birieux;284;0
1046;Biziat;904;0
1047;Blyes;1292;0
1049;La Boisse;3361;4
1050;Boissey;386;0
1051;Bolozon;95;0
1052;Bouligneux;327;0
1053;Bourg-en-Bresse;41525;48
1054;Bourg-Saint-Christophe;1517;0
1056;Boyeux-Saint-Jérôme;356;0
1057;Boz;510;0
1058;Brégnier-Cordon;818;0
1060;Brénod;518;0
1061;Brens;1129;0
1062;Bressolles;978;0
1063;Brion;576;0
1064;Briord;1099;0
1065;Buellas;1851;1
1066;La Burbanche;95;0
1067;Ceignes;261;0
1068;Cerdon;761;0
1069;Certines;1505;0
1071;Cessy;5307;2
1072;Ceyzériat;3285;2
1073;Ceyzérieu;992;0
1074;Chalamont;2559;4
1075;Chaleins;1430;2
1076;Chaley;124;0
1077;Challes-la-Montagne;189;0
1078;Challex;1619;0
1079;Champagne-en-Valromey;826;1
1080;Champdor-Corcelles;645;0
1081;Champfromier;718;1
1082;Chanay;616;0
1083;Chaneins;1003;0
1084;Chanoz-Châtenay;931;0
1085;La Chapelle-du-Châtelard;394;0
1087;Charix;279;0
1088;Charnoz-sur-Ain;898;1
1089;Château-Gaillard;2287;0
1090;Châtenay;360;0
1092;Châtillon-la-Palud;1649;0
1093;Châtillon-sur-Chalaronne;5059;6
1094;Chavannes-sur-Reyssouze;767;0
1095;Nivigne et Suran;832;0
1096;Chaveyriat;1036;0
1098;Chazey-Bons;1188;0
1099;Chazey-sur-Ain;1600;1
1100;Cheignieu-la-Balme;131;0
1101;Chevillard;150;0
1102;Chevroux;973;0
1103;Chevry;2261;0
1104;Chézery-Forens;445;0
1105;Civrieux;1916;0
1106;Cize;176;0
1107;Cleyzieu;140;0
1108;Coligny;1227;2
1109;Collonges;2249;4
1110;Colomieu;163;0
1111;Conand;135;0
1112;Condamine;473;0
1113;Condeissiat;815;0
1114;Confort;685;0
1115;Confrançon;1348;0
1116;Contrevoz;493;0
1117;Conzieu;149;0
1118;Corbonod;1296;0
1121;Corlier;117;0
1123;Cormoranche-sur-Saône;1162;2
1124;Cormoz;703;0
1125;Corveissiat;596;0
1127;Courmangoux;504;0
1128;Courtes;297;0
1129;Crans;306;0
1130;Bresse Vallons;2380;1
1133;Cressin-Rochefort;389;0
1134;Crottet;1818;0
1135;Crozet;2288;0
1136;Cruzilles-lès-Mépillat;943;0
1138;Culoz-Béon;3426;3
1139;Curciat-Dongalon;451;0
1140;Curtafond;784;0
1141;Cuzieu;433;0
1142;Dagneux;4753;9
1143;Divonne-les-Bains;10137;9
1145;Dompierre-sur-Veyle;1207;0
1146;Dompierre-sur-Chalaronne;437;0
1147;Domsure;526;0
1148;Dortan;1953;0
1149;Douvres;1094;0
1150;Drom;215;0
1151;Druillat;1139;0
1152;Échallon;765;0
1153;Échenevex;2127;0
1155;Évosges;142;0
1156;Faramans;877;0
1157;Fareins;2431;1
1158;Farges;1058;0
1159;Feillens;3381;3
1160;Ferney-Voltaire;10920;9
1162;Flaxieu;64;0
1163;Foissiat;2014;0
1165;Francheleins;1585;0
1166;Frans;2482;0
1167;Garnerans;658;0
1169;Genouilleux;650;0
1170;Béard-Géovreissiat;1048;0
1171;Géovreisset;835;0
1173;Gex;13078;8
1174;Giron;176;0
1175;Gorrevod;786;0
1177;Grand-Corent;184;0
1179;Grièges;1901;1
1180;Grilly;864;0
1181;Groissiat;1230;0
1183;Guéreins;1495;1
1184;Hautecourt-Romanèche;758;0
1185;Plateau d'Hauteville;4807;3
1187;Haut Valromey;609;0
1188;Illiat;689;0
1189;Injoux-Génissiat;1123;0
1190;Innimond;89;0
1191;Izenave;155;0
1192;Izernore;2267;1
1193;Izieu;222;0
1194;Jassans-Riottier;6355;5
1195;Jasseron;1861;1
1196;Jayat;1259;0
1197;Journans;380;0
1198;Joyeux;262;0
1199;Jujurieux;2124;2
1200;Labalme;210;0
1202;Lagnieu;7268;7
1203;Laiz;1299;0
1204;Le Poizat-Lalleyriat;746;0
1206;Lantenay;270;0
1207;Lapeyrouse;326;0
1208;Lavours;136;0
1209;Léaz;817;0
1210;Lélex;230;0
1211;Lent;1408;4
1212;Lescheroux;714;0
1213;Leyment;1392;0
1214;Leyssard;163;0
1215;Surjoux-Lhopital;141;0
1216;Lhuis;892;1
1219;Lompnas;163;0
1224;Loyettes;3381;2
1225;Lurcy;393;0
1227;Magnieu;655;0
1228;Maillat;679;0
1229;Malafretaz;1214;0
1230;Mantenay-Montlin;308;0
1231;Manziat;1955;3
1232;Marboz;2268;3
1233;Marchamp;132;0
1234;Marignieu;167;0
1235;Marlieux;1182;0
1236;Marsonnas;1030;0
1237;Martignat;1671;1
1238;Massieux;2721;4
1239;Massignieu-de-Rives;642;0
1240;Matafelon-Granges;629;0
1241;Meillonnas;1383;1
1242;Mérignat;136;0
1243;Messimy-sur-Saône;1288;0
1244;Meximieux;8085;3
1245;Bohas-Meyriat-Rignat;965;0
1246;Mézériat;2192;1
1247;Mijoux;297;0
1248;Mionnay;2227;2
1249;Miribel;10225;10
1250;Misérieux;1994;0
